iter	Passed	Remaining
0	74	185265
1	75	94822
2	77	64599
3	79	49443
4	80	40374
5	82	34394
6	84	30018
7	85	26675
8	87	24096
9	88	21968
10	89	20209
11	90	18714
12	91	17452
13	92	16364
14	93	15428
15	94	14607
16	95	13876
17	95	13231
18	96	12663
19	97	12138
20	98	11665
21	99	11237
22	100	10844
23	101	10479
24	102	10144
25	103	9836
26	104	9554
27	105	9290
28	106	9045
29	107	8817
30	108	8606
31	108	8404
32	109	8219
33	110	8039
34	111	7870
35	112	7713
36	113	7562
37	114	7421
38	115	7284
39	116	7155
40	117	7033
41	118	6916
42	119	6799
43	119	6692
44	120	6592
45	121	6497
46	122	6404
47	123	6318
48	124	6233
49	125	6151
50	126	6069
51	127	5990
52	128	5916
53	128	5842
54	129	5774
55	130	5709
56	131	5644
57	132	5584
58	133	5523
59	134	5465
60	135	5411
61	136	5358
62	137	5317
63	138	5267
64	139	5217
65	140	5170
66	141	5124
67	142	5078
68	142	5034
69	143	4992
70	144	4952
71	145	4912
72	146	4874
73	148	4866
74	149	4830
75	150	4797
76	151	4762
77	152	4727
78	153	4692
79	154	4659
80	154	4627
81	155	4597
82	156	4565
83	157	4536
84	158	4508
85	159	4482
86	160	4456
87	161	4431
88	162	4406
89	163	4381
90	164	4355
91	165	4330
92	166	4306
93	167	4282
94	168	4258
95	169	4235
96	170	4212
97	170	4190
98	171	4167
99	172	4145
100	173	4125
101	174	4103
102	175	4082
103	176	4062
104	177	4042
105	178	4023
106	179	4004
107	179	3985
108	180	3967
109	181	3949
110	182	3931
111	183	3917
112	184	3901
113	185	3884
114	186	3868
115	187	3852
116	188	3836
117	189	3822
118	190	3805
119	191	3789
120	192	3775
121	192	3761
122	193	3746
123	194	3731
124	195	3717
125	196	3703
126	197	3690
127	198	3676
128	199	3665
129	200	3653
130	201	3641
131	202	3629
132	203	3616
133	204	3604
134	205	3592
135	205	3580
136	206	3568
137	207	3556
138	208	3545
139	209	3534
140	210	3522
141	211	3512
142	212	3501
143	213	3490
144	214	3478
145	215	3467
146	216	3457
147	216	3446
148	217	3436
149	218	3426
150	219	3415
151	220	3406
152	221	3395
153	222	3389
154	223	3379
155	224	3370
156	225	3360
157	226	3350
158	226	3341
159	227	3333
160	228	3324
161	229	3315
162	230	3307
163	231	3300
164	232	3290
165	233	3282
166	234	3276
167	235	3269
168	236	3261
169	237	3252
170	238	3244
171	239	3236
172	239	3227
173	240	3218
174	241	3211
175	242	3202
176	243	3195
177	244	3188
178	245	3180
179	246	3180
180	247	3175
181	249	3173
182	250	3167
183	251	3160
184	252	3154
185	253	3148
186	254	3143
187	255	3137
188	256	3135
189	257	3132
190	258	3126
191	259	3121
192	261	3125
193	262	3123
194	264	3121
195	266	3129
196	267	3124
197	269	3127
198	269	3121
199	270	3116
200	272	3118
201	273	3111
202	274	3109
203	276	3111
204	277	3107
205	278	3102
206	279	3098
207	280	3093
208	281	3086
209	282	3081
210	283	3075
211	284	3069
212	285	3064
213	286	3058
214	287	3053
215	288	3047
216	289	3042
217	290	3037
218	291	3034
219	292	3034
220	293	3030
221	294	3024
222	295	3020
223	296	3015
224	297	3010
225	298	3005
226	299	2999
227	300	2994
228	301	2989
229	302	2984
230	303	2980
231	304	2975
232	305	2970
233	306	2965
234	307	2960
235	308	2957
236	309	2957
237	310	2953
238	311	2948
239	312	2943
240	313	2938
241	314	2934
242	315	2930
243	316	2925
244	317	2920
245	318	2917
246	319	2913
247	320	2908
248	321	2904
249	322	2900
250	323	2894
251	324	2891
252	324	2886
253	326	2884
254	327	2881
255	328	2878
256	329	2874
257	330	2869
258	331	2865
259	332	2861
260	333	2857
261	333	2852
262	334	2848
263	335	2844
264	336	2840
265	337	2835
266	338	2830
267	339	2825
268	340	2821
269	341	2817
270	341	2812
271	342	2809
272	343	2805
273	344	2802
274	345	2797
275	346	2793
276	347	2789
277	348	2785
278	349	2781
279	350	2777
280	351	2773
281	352	2769
282	353	2765
283	353	2761
284	354	2758
285	355	2754
286	356	2750
287	357	2747
288	358	2743
289	359	2740
290	360	2736
291	361	2732
292	362	2729
293	363	2725
294	364	2721
295	365	2718
296	365	2714
297	366	2710
298	367	2707
299	368	2703
300	369	2700
301	370	2696
302	371	2693
303	372	2689
304	373	2686
305	374	2682
306	375	2679
307	376	2676
308	377	2673
309	377	2669
310	378	2666
311	379	2662
312	380	2659
313	381	2656
314	382	2653
315	383	2650
316	384	2646
317	385	2643
318	386	2639
319	387	2636
320	387	2633
321	388	2630
322	389	2627
323	390	2623
324	391	2620
325	392	2617
326	393	2614
327	394	2611
328	395	2608
329	396	2605
330	397	2601
331	397	2598
332	398	2595
333	399	2592
334	400	2589
335	401	2586
336	402	2583
337	403	2580
338	404	2577
339	405	2575
340	406	2572
341	407	2569
342	408	2568
343	410	2572
344	411	2569
345	412	2566
346	413	2564
347	414	2561
348	415	2558
349	416	2555
350	417	2556
351	418	2554
352	420	2554
353	420	2551
354	422	2550
355	423	2547
356	424	2545
357	425	2543
358	426	2540
359	427	2540
360	428	2538
361	429	2536
362	430	2534
363	431	2532
364	432	2530
365	433	2529
366	435	2529
367	436	2527
368	437	2524
369	438	2522
370	439	2519
371	440	2517
372	441	2515
373	442	2513
374	443	2511
375	444	2508
376	445	2506
377	446	2504
378	447	2501
379	447	2499
380	448	2496
381	449	2494
382	450	2491
383	451	2488
384	452	2486
385	453	2483
386	454	2480
387	455	2477
388	456	2475
389	457	2472
390	457	2469
391	458	2467
392	459	2465
393	460	2462
394	461	2461
395	462	2459
396	463	2456
397	464	2454
398	465	2452
399	466	2450
400	467	2448
401	468	2446
402	469	2444
403	470	2441
404	471	2439
405	472	2437
406	473	2435
407	474	2432
408	475	2430
409	476	2427
410	477	2425
411	478	2423
412	479	2421
413	480	2418
414	480	2416
415	481	2414
416	482	2411
417	483	2409
418	484	2407
419	485	2405
420	486	2402
421	487	2400
422	488	2398
423	489	2396
424	490	2393
425	491	2391
426	492	2388
427	493	2387
428	494	2385
429	495	2383
430	496	2381
431	496	2378
432	497	2376
433	498	2374
434	499	2371
435	500	2369
436	501	2367
437	502	2365
438	503	2363
439	504	2360
440	505	2358
441	505	2355
442	506	2353
443	507	2351
444	508	2348
445	509	2346
446	510	2345
447	511	2343
448	512	2341
449	513	2339
450	514	2336
451	515	2334
452	516	2332
453	517	2330
454	517	2327
455	518	2325
456	519	2323
457	520	2321
458	521	2319
459	522	2317
460	523	2315
461	524	2313
462	525	2311
463	526	2309
464	527	2307
465	528	2305
466	529	2303
467	529	2301
468	530	2299
469	531	2297
470	532	2295
471	533	2293
472	534	2291
473	535	2289
474	536	2287
475	537	2285
476	538	2283
477	539	2281
478	540	2279
479	541	2276
480	541	2274
481	542	2272
482	543	2271
483	544	2269
484	545	2267
485	546	2265
486	547	2263
487	548	2261
488	549	2259
489	550	2257
490	551	2255
491	552	2253
492	552	2250
493	553	2249
494	554	2247
